Temperature (°C),Film A Heat Flow (W/g),Film B Heat Flow (W/g),Film C Heat Flow (W/g)
40,0.18,0.14,0.10
50,0.17,0.13,0.09
60,0.16,0.12,0.08
70,0.14,0.10,0.06
80,0.11,0.07,0.03
90,0.06,0.02,-0.02
100,-0.02,-0.06,-0.10
110,-0.10,-0.14,-0.18
120,-0.04,-0.08,-0.12
130,0.05,0.01,-0.03
140,0.12,0.08,0.04
150,0.16,0.12,0.08
160,0.18,0.14,0.10
170,0.20,0.16,0.12
180,0.24,0.20,0.16
190,0.32,0.28,0.24
200,0.48,0.44,0.40
210,0.72,0.68,0.64
220,0.94,0.88,0.82
230,0.70,0.78,0.84
240,0.42,0.52,0.62
250,0.28,0.34,0.42
260,0.22,0.26,0.30
270,0.19,0.22,0.25
280,0.17,0.20,0.23
290,0.15,0.18,0.21
300,0.14,0.17,0.20
