Wavenumber (cm^-1),30 C Transmittance (%),80 C Transmittance (%),130 C Transmittance (%),180 C Transmittance (%),230 C Transmittance (%),280 C Transmittance (%)
3010,96.1,96.0,95.9,95.8,95.7,95.6
3005,95.9,95.8,95.7,95.6,95.5,95.4
3000,95.4,95.3,95.1,95.0,94.8,94.7
2995,93.8,93.6,93.3,93.0,92.7,92.5
2990,90.7,90.3,89.8,89.3,88.8,88.4
2985,85.2,84.5,83.8,83.1,82.4,81.8
2980,78.1,77.0,75.9,74.8,73.8,72.9
2975,70.4,68.9,67.5,66.1,64.8,63.6
2970,66.8,65.0,63.3,61.7,60.2,58.8
2965,70.9,69.4,68.0,66.7,65.5,64.4
2960,78.8,77.7,76.7,75.8,74.9,74.1
2955,86.1,85.4,84.8,84.2,83.6,83.1
2950,91.2,90.8,90.4,90.0,89.6,89.3
2945,94.0,93.8,93.6,93.4,93.2,93.0
2940,95.4,95.3,95.2,95.1,95.0,94.9
