Binding Energy (eV),Sample A Counts/s,Sample B Counts/s,Sample C Counts/s
292.0,118,101,86
291.5,121,103,88
291.0,124,105,90
290.5,129,108,92
290.0,136,113,96
289.5,145,120,101
289.0,158,131,109
288.5,177,146,121
288.0,207,169,139
287.5,260,210,170
287.0,359,287,228
286.5,548,431,337
286.0,827,650,510
285.5,1084,868,701
285.0,1017,954,792
284.5,733,777,694
284.0,463,531,509
283.5,302,349,356
283.0,222,251,263
282.5,183,203,216
282.0,164,178,192
281.5,153,164,179
281.0,146,156,171
280.5,141,151,166
280.0,138,147,162
