Condition ID,Follow-up Time (month),Response Score (a.u.),Solid Density (a.u.),Dashed Density (a.u.),Focal X (a.u.)
Month 0,0,0.20,0.03,0.02,
Month 0,0,0.25,0.10,0.05,
Month 0,0,0.30,0.32,0.13,
Month 0,0,0.35,0.95,0.35,
Month 0,0,0.40,1.85,0.85,
Month 0,0,0.45,2.55,1.65,
Month 0,0,0.50,2.10,2.25,0.49
Month 0,0,0.55,1.20,2.35,
Month 0,0,0.60,0.55,1.70,
Month 0,0,0.65,0.22,0.85,
Month 0,0,0.70,0.09,0.35,
Month 0,0,0.75,0.04,0.12,
Month 0,0,0.80,0.02,0.04,
Month 6,6,0.20,0.02,0.01,
Month 6,6,0.25,0.07,0.03,
Month 6,6,0.30,0.20,0.08,
Month 6,6,0.35,0.58,0.20,
Month 6,6,0.40,1.28,0.48,
Month 6,6,0.45,2.08,1.05,
Month 6,6,0.50,2.62,1.78,0.52
Month 6,6,0.55,2.18,2.42,
Month 6,6,0.60,1.25,2.48,
Month 6,6,0.65,0.52,1.70,
Month 6,6,0.70,0.19,0.80,
Month 6,6,0.75,0.07,0.28,
Month 6,6,0.80,0.03,0.08,
Month 12,12,0.20,0.01,0.01,
Month 12,12,0.25,0.04,0.02,
Month 12,12,0.30,0.11,0.05,
Month 12,12,0.35,0.30,0.12,
Month 12,12,0.40,0.72,0.28,
Month 12,12,0.45,1.48,0.62,
Month 12,12,0.50,2.30,1.24,
Month 12,12,0.55,2.68,2.05,0.55
Month 12,12,0.60,2.12,2.58,
Month 12,12,0.65,1.18,2.25,
Month 12,12,0.70,0.48,1.30,
Month 12,12,0.75,0.16,0.52,
Month 12,12,0.80,0.05,0.15,
Month 18,18,0.20,0.01,0.00,
Month 18,18,0.25,0.02,0.01,
Month 18,18,0.30,0.06,0.03,
Month 18,18,0.35,0.15,0.07,
Month 18,18,0.40,0.38,0.16,
Month 18,18,0.45,0.85,0.36,
Month 18,18,0.50,1.62,0.76,
Month 18,18,0.55,2.42,1.45,
Month 18,18,0.60,2.72,2.25,0.58
Month 18,18,0.65,2.08,2.66,
Month 18,18,0.70,1.08,2.20,
Month 18,18,0.75,0.40,1.22,
Month 18,18,0.80,0.11,0.45,
