Wavelength (nm),150 C PL Intensity (a.u.),175 C PL Intensity (a.u.),200 C PL Intensity (a.u.),225 C PL Intensity (a.u.),250 C PL Intensity (a.u.),275 C PL Intensity (a.u.)
430,0.10,0.09,0.08,0.07,0.06,0.05
440,0.18,0.16,0.14,0.12,0.10,0.09
450,0.32,0.29,0.26,0.23,0.20,0.18
460,0.52,0.48,0.44,0.40,0.36,0.33
470,0.74,0.69,0.64,0.59,0.54,0.50
480,0.91,0.86,0.81,0.76,0.71,0.66
490,1.00,0.96,0.92,0.88,0.84,0.80
500,0.98,0.96,0.94,0.92,0.90,0.88
510,0.91,0.91,0.91,0.91,0.91,0.91
520,0.84,0.86,0.88,0.90,0.92,0.94
530,0.78,0.81,0.84,0.87,0.90,0.93
540,0.72,0.75,0.78,0.81,0.84,0.87
550,0.65,0.68,0.71,0.74,0.77,0.80
560,0.57,0.60,0.63,0.66,0.69,0.72
570,0.49,0.52,0.55,0.58,0.61,0.64
580,0.41,0.44,0.47,0.50,0.53,0.56
590,0.34,0.37,0.40,0.43,0.46,0.49
600,0.28,0.31,0.34,0.37,0.40,0.43
610,0.23,0.26,0.29,0.32,0.35,0.38
620,0.19,0.22,0.25,0.28,0.31,0.34
630,0.16,0.19,0.22,0.25,0.28,0.31
640,0.14,0.17,0.20,0.23,0.26,0.29
650,0.12,0.15,0.18,0.21,0.24,0.27
660,0.10,0.13,0.16,0.19,0.22,0.25
670,0.09,0.12,0.15,0.18,0.21,0.24
680,0.08,0.11,0.14,0.17,0.20,0.23
690,0.07,0.10,0.13,0.16,0.19,0.22
700,0.06,0.09,0.12,0.15,0.18,0.21
710,0.05,0.08,0.11,0.14,0.17,0.20
720,0.04,0.07,0.10,0.13,0.16,0.19
