Feature,SHAP value,Feature value,Feature Group,Sample ID,Feature Order
Vegetation index,-3.1830944,1.0000000,Surface cover,DEMO001,1
Vegetation index,-2.7768195,1.0000000,Surface cover,DEMO002,
Vegetation index,-2.8302483,0.9571930,Surface cover,DEMO003,
Vegetation index,-2.4447150,0.8501943,Surface cover,DEMO004,
Vegetation index,-2.0490963,0.7670445,Surface cover,DEMO005,
Vegetation index,-2.2103922,0.7429793,Surface cover,DEMO006,
Vegetation index,-2.2689179,0.7800792,Surface cover,DEMO007,
Vegetation index,-1.8445009,0.8445481,Surface cover,DEMO008,
Vegetation index,-1.7053059,0.8870106,Surface cover,DEMO009,
Vegetation index,-1.9806077,0.8727839,Surface cover,DEMO010,
Vegetation index,-1.8564189,0.8031722,Surface cover,DEMO011,
Vegetation index,-1.4581824,0.7144924,Surface cover,DEMO012,
Vegetation index,-1.5576631,0.6554054,Surface cover,DEMO013,
Vegetation index,-1.7828787,0.6566118,Surface cover,DEMO014,
Vegetation index,-1.4785849,0.7117220,Surface cover,DEMO015,
Vegetation index,-1.2233965,0.7811735,Surface cover,DEMO016,
Vegetation index,-1.4881970,0.8167588,Surface cover,DEMO017,
Vegetation index,-1.5443340,0.7915300,Surface cover,DEMO018,
Vegetation index,-1.1513420,0.7165065,Surface cover,DEMO019,
Vegetation index,-1.1136039,0.6338094,Surface cover,DEMO020,
Vegetation index,-1.4161096,0.5904855,Surface cover,DEMO021,
Vegetation index,-1.2588637,0.6092744,Surface cover,DEMO022,
Vegetation index,-0.9102049,0.6744741,Surface cover,DEMO023,
Vegetation index,-1.0847691,0.7416793,Surface cover,DEMO024,
Vegetation index,-1.2873878,0.7653467,Surface cover,DEMO025,
Vegetation index,-0.9602097,0.7270689,Surface cover,DEMO026,
Vegetation index,-0.7750869,0.6469967,Surface cover,DEMO027,
Vegetation index,-1.0766803,0.5713182,Surface cover,DEMO028,
Vegetation index,-1.0837055,0.5435695,Surface cover,DEMO029,
Vegetation index,-0.6990816,0.5775929,Surface cover,DEMO030,
Vegetation index,-0.7347495,0.6489350,Surface cover,DEMO031,
Vegetation index,-1.0302401,0.7100281,Surface cover,DEMO032,
Vegetation index,-0.8243887,0.7197253,Surface cover,DEMO033,
Vegetation index,-0.5189081,0.6688486,Surface cover,DEMO034,
Vegetation index,-0.7475081,0.5858854,Surface cover,DEMO035,
Vegetation index,-0.9074695,0.5192938,Surface cover,DEMO036,
Vegetation index,-0.5561096,0.5074071,Surface cover,DEMO037,
Vegetation index,-0.4364379,0.5546259,Surface cover,DEMO038,
Vegetation index,-0.7554920,0.6286823,Surface cover,DEMO039,
Vegetation index,-0.7045589,0.6806763,Surface cover,DEMO040,
Vegetation index,-0.3329592,0.6754401,Surface cover,DEMO041,
Vegetation index,-0.4337159,0.6133755,Surface cover,DEMO042,
Vegetation index,-0.7060204,0.5302021,Surface cover,DEMO043,
Vegetation index,-0.4521787,0.4747736,Surface cover,DEMO044,
Vegetation index,-0.1941692,0.4787373,Surface cover,DEMO045,
Vegetation index,-0.4641436,0.5368797,Surface cover,DEMO046,
Vegetation index,-0.5713575,0.6103620,Surface cover,DEMO047,
Vegetation index,-0.2026316,0.6508379,Surface cover,DEMO048,
Vegetation index,-0.1479717,0.6304749,Surface cover,DEMO049,
Vegetation index,-0.4700398,0.5592372,Surface cover,DEMO050,
Vegetation index,-0.3589285,0.4786964,Surface cover,DEMO051,
Vegetation index,-0.0087358,0.4362139,Surface cover,DEMO052,
Vegetation index,-0.1677960,0.4555282,Surface cover,DEMO053,
Vegetation index,-0.4047108,0.5220118,Surface cover,DEMO054,
Vegetation index,-0.1078968,0.5917537,Surface cover,DEMO055,
Vegetation index,0.0973657,0.6188270,Surface cover,DEMO056,
Vegetation index,-0.2022241,0.5838086,Surface cover,DEMO057,
Vegetation index,-0.2503150,0.5058397,Surface cover,DEMO058,
Vegetation index,0.1266098,0.4307377,Surface cover,DEMO059,
Vegetation index,0.1172106,0.4025428,Surface cover,DEMO060,
Vegetation index,-0.1947555,0.4361672,Surface cover,DEMO061,
Vegetation index,-0.0244781,0.5081339,Surface cover,DEMO062,
Vegetation index,0.2954777,0.5711545,Surface cover,DEMO063,
Vegetation index,0.0857730,0.5834944,Surface cover,DEMO064,
Vegetation index,-0.1056059,0.5348892,Surface cover,DEMO065,
Vegetation index,0.2269606,0.4529175,Surface cover,DEMO066,
Vegetation index,0.3752002,0.3858734,Surface cover,DEMO067,
Vegetation index,0.0580890,0.3727746,Surface cover,DEMO068,
Vegetation index,0.0730306,0.4191310,Surface cover,DEMO069,
Vegetation index,0.4482500,0.4935219,Surface cover,DEMO070,
Vegetation index,0.3774244,0.5471070,Surface cover,DEMO071,
Vegetation index,0.0880152,0.5439552,Surface cover,DEMO072,
Vegetation index,0.3142570,0.4833564,Surface cover,DEMO073,
Vegetation index,0.5959216,0.4002614,Surface cover,DEMO074,
Vegetation index,0.3447298,0.3435757,Surface cover,DEMO075,
Vegetation index,0.2074670,0.3457876,Surface cover,DEMO076,
Vegetation index,0.5673762,0.4027914,Surface cover,DEMO077,
Vegetation index,0.6561976,0.4764355,Surface cover,DEMO078,
Vegetation index,0.3343154,0.5182127,Surface cover,DEMO079,
Vegetation index,0.4142983,0.4993820,Surface cover,DEMO080,
Vegetation index,0.7781698,0.4288147,Surface cover,DEMO081,
Vegetation index,0.6508135,0.3474832,Surface cover,DEMO082,
Vegetation index,0.3960168,0.3030155,Surface cover,DEMO083,
Vegetation index,0.6736041,0.3201153,Surface cover,DEMO084,
Vegetation index,0.9106373,0.3852187,Surface cover,DEMO085,
Vegetation index,0.6290092,0.4549153,Surface cover,DEMO086,
Vegetation index,0.5533121,0.4829029,Surface cover,DEMO087,
Vegetation index,0.9319794,0.4487389,Surface cover,DEMO088,
Vegetation index,0.9617231,0.3705319,Surface cover,DEMO089,
Vegetation index,0.6488831,0.2936929,Surface cover,DEMO090,
Vegetation index,0.7948238,0.2627311,Surface cover,DEMO091,
Vegetation index,1.1392155,0.2936099,Surface cover,DEMO092,
Vegetation index,0.9633379,0.3638287,Surface cover,DEMO093,
Vegetation index,0.7555138,0.4263917,Surface cover,DEMO094,
Vegetation index,1.0797580,0.4389865,Surface cover,DEMO095,
Vegetation index,1.2690565,0.3902548,Surface cover,DEMO096,
Vegetation index,0.9710330,0.3068394,Surface cover,DEMO097,
Vegetation index,0.9645978,0.2368313,Surface cover,DEMO098,
Vegetation index,1.3553538,0.2198975,Surface cover,DEMO099,
Vegetation index,1.3311231,0.2626377,Surface cover,DEMO100,
Vegetation index,1.0440599,0.3344759,Surface cover,DEMO101,
Vegetation index,1.2583784,0.3866359,Surface cover,DEMO102,
Vegetation index,1.5799406,0.3824178,Surface cover,DEMO103,
Vegetation index,1.3698711,0.3199722,Surface cover,DEMO104,
Vegetation index,1.2253068,0.2334304,Surface cover,DEMO105,
Vegetation index,1.5963052,0.1716856,Surface cover,DEMO106,
Vegetation index,1.7436435,0.1680039,Surface cover,DEMO107,
Vegetation index,1.4523830,0.2193325,Surface cover,DEMO108,
Vegetation index,1.5307981,0.2881559,Surface cover,DEMO109,
Vegetation index,1.9386753,0.3257419,Surface cover,DEMO110,
Vegetation index,1.8819114,0.3023399,Surface cover,DEMO111,
