Wavelength (nm),Reference Absorbance (a.u.),Modified A Absorbance (a.u.),Modified B Absorbance (a.u.)
260,1.02,1.00,0.98
280,1.01,0.99,0.97
300,0.99,0.98,0.96
320,0.96,0.96,0.95
330,0.92,0.93,0.93
340,0.85,0.88,0.90
350,0.74,0.80,0.84
360,0.59,0.68,0.75
370,0.42,0.52,0.62
380,0.28,0.37,0.47
390,0.19,0.25,0.33
400,0.14,0.18,0.23
420,0.11,0.13,0.16
440,0.10,0.11,0.13
460,0.09,0.10,0.12
480,0.09,0.10,0.11
500,0.08,0.09,0.10
540,0.08,0.08,0.09
580,0.07,0.08,0.09
620,0.07,0.07,0.08
660,0.06,0.07,0.08
700,0.06,0.06,0.07
740,0.05,0.06,0.07
780,0.05,0.05,0.06
820,0.04,0.05,0.06
